year,year_yy,start_date,end_date
2000,00,1/1/2000,12/31/2000
2001,01,1/1/2001,12/31/2001
2002,02,1/1/2002,12/31/2002
2003,03,1/1/2003,12/31/2003
2004,04,1/1/2004,12/31/2004
2005,05,1/1/2005,12/31/2005
2006,06,1/1/2006,12/31/2006
2007,07,1/1/2007,12/31/2007
2008,08,1/1/2008,12/31/2008
2009,09,1/1/2009,12/31/2009
2010,10,1/1/2010,12/31/2010
2011,11,1/1/2011,12/31/2011
2012,12,1/1/2012,12/31/2012
2013,13,1/1/2013,12/31/2013
2014,14,1/1/2014,12/31/2014
2015,15,1/1/2015,12/31/2015
2016,16,1/1/2016,12/31/2016
2017,17,1/1/2017,12/31/2017
2018,18,1/1/2018,12/31/2018
2019,19,1/1/2019,12/31/2019
2020,20,1/1/2020,12/31/2020
2021,21,1/1/2021,12/31/2021
2022,22,1/1/2022,12/31/2022
2023,23,1/1/2023,12/31/2023
2024,24,1/1/2024,12/31/2024
2025,25,1/1/2025,12/31/2025
2026,26,1/1/2026,12/31/2026
2027,27,1/1/2027,12/31/2027
2028,28,1/1/2028,12/31/2028
2029,29,1/1/2029,12/31/2029
2030,30,1/1/2030,12/31/2030
2031,31,1/1/2031,12/31/2031
2032,32,1/1/2032,12/31/2032
2033,33,1/1/2033,12/31/2033
2034,34,1/1/2034,12/31/2034
2035,35,1/1/2035,12/31/2035
2036,36,1/1/2036,12/31/2036
2037,37,1/1/2037,12/31/2037
2038,38,1/1/2038,12/31/2038
2039,39,1/1/2039,12/31/2039
2040,40,1/1/2040,12/31/2040
2041,41,1/1/2041,12/31/2041
2042,42,1/1/2042,12/31/2042
2043,43,1/1/2043,12/31/2043
2044,44,1/1/2044,12/31/2044
2045,45,1/1/2045,12/31/2045
2046,46,1/1/2046,12/31/2046
2047,47,1/1/2047,12/31/2047
2048,48,1/1/2048,12/31/2048
2049,49,1/1/2049,12/31/2049
2050,50,1/1/2050,12/31/2050
2051,51,1/1/2051,12/31/2051
2052,52,1/1/2052,12/31/2052
2053,53,1/1/2053,12/31/2053
2054,54,1/1/2054,12/31/2054
2055,55,1/1/2055,12/31/2055
2056,56,1/1/2056,12/31/2056
2057,57,1/1/2057,12/31/2057
2058,58,1/1/2058,12/31/2058
2059,59,1/1/2059,12/31/2059
2060,60,1/1/2060,12/31/2060
2061,61,1/1/2061,12/31/2061
2062,62,1/1/2062,12/31/2062
2063,63,1/1/2063,12/31/2063
2064,64,1/1/2064,12/31/2064
2065,65,1/1/2065,12/31/2065
2066,66,1/1/2066,12/31/2066
2067,67,1/1/2067,12/31/2067
2068,68,1/1/2068,12/31/2068
2069,69,1/1/2069,12/31/2069
2070,70,1/1/2070,12/31/2070
2071,71,1/1/2071,12/31/2071
2072,72,1/1/2072,12/31/2072
2073,73,1/1/2073,12/31/2073
2074,74,1/1/2074,12/31/2074
2075,75,1/1/2075,12/31/2075
2076,76,1/1/2076,12/31/2076
2077,77,1/1/2077,12/31/2077
2078,78,1/1/2078,12/31/2078
2079,79,1/1/2079,12/31/2079
